date,temperature_2m_mean,daylight_duration,sunshine_duration,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,location
2020-02-06 23:00:00+00:00,-5.0293336,35583.348,31634.016,0.0,0.0,4.73506,171.75378,10.8,"47.0148862689,9.2490818321"
2020-02-07 23:00:00+00:00,-2.1647499,35762.895,31697.707,0.0,0.0,5.1544156,184.25056,8.8,"47.0148862689,9.2490818321"
2020-02-08 23:00:00+00:00,-5.356416,35944.598,31793.957,0.0,0.0,14.081478,172.79555,10.94,"47.0148862689,9.2490818321"
2020-02-09 23:00:00+00:00,-3.8272498,36128.246,22885.496,13.5,16.0,14.799459,197.48152,4.58,"47.0148862689,9.2490818321"
2020-02-10 23:00:00+00:00,-6.3855834,36313.63,7084.01,24.100002,24.0,9.9571085,271.3461,4.1,"47.0148862689,9.2490818321"
2020-02-11 23:00:00+00:00,-9.779333,36500.56,14838.138,3.3999996,18.0,6.2145634,239.97688,7.01,"47.0148862689,9.2490818321"
2020-02-12 23:00:00+00:00,-8.168916,36688.84,30299.479,6.9,8.0,12.429127,175.52011,10.22,"47.0148862689,9.2490818321"
2020-02-13 23:00:00+00:00,-6.7105827,36878.277,11432.595,10.900001,14.0,7.289445,259.33383,4.36,"47.0148862689,9.2490818321"
2020-02-14 23:00:00+00:00,-3.8730834,37068.688,33249.305,0.0,0.0,7.42159,172.52278,11.62,"47.0148862689,9.2490818321"
2020-02-15 23:00:00+00:00,-1.0668333,37259.902,15327.906,0.0,0.0,9.885262,172.17441,7.7,"47.0148862689,9.2490818321"
2020-02-16 23:00:00+00:00,-1.2355834,37451.727,30326.754,4.6,7.0,9.007196,222.01851,10.06,"47.0148862689,9.2490818321"
2020-02-17 23:00:00+00:00,-5.81475,37644.0,29201.947,2.2,11.0,6.8777895,310.74606,8.47,"47.0148862689,9.2490818321"
2020-02-18 23:00:00+00:00,-8.1397505,37836.547,3600.0,8.9,16.0,8.161764,264.69666,3.68,"47.0148862689,9.2490818321"
2020-02-19 23:00:00+00:00,-6.0647507,38029.207,33518.207,0.0,0.0,8.311245,198.58122,12.0,"47.0148862689,9.2490818321"
2020-02-20 23:00:00+00:00,-6.8022504,38221.81,19381.816,8.500001,10.0,6.4096174,258.2994,7.81,"47.0148862689,9.2490818321"
2020-02-21 23:00:00+00:00,-2.3730836,38414.195,33865.938,0.0,0.0,6.5693827,196.72519,13.51,"47.0148862689,9.2490818321"
2020-02-22 23:00:00+00:00,-0.014750014,38606.453,25677.795,0.5,5.0,9.9571085,233.00462,9.46,"47.0148862689,9.2490818321"
2020-02-23 23:00:00+00:00,-0.02308335,38800.21,23381.135,7.1,9.0,9.178235,247.69951,9.16,"47.0148862689,9.2490818321"
2020-02-24 23:00:00+00:00,-0.26266664,38995.637,26643.81,0.9000001,4.0,6.696387,271.4057,10.11,"47.0148862689,9.2490818321"
2020-02-25 23:00:00+00:00,-9.241833,39192.57,13638.514,14.400001,24.0,10.1887,293.63702,6.09,"47.0148862689,9.2490818321"
2020-02-26 23:00:00+00:00,-10.381415,39390.848,8336.332,17.0,20.0,14.685176,199.0257,6.38,"47.0148862689,9.2490818321"
2020-02-27 23:00:00+00:00,-10.104333,39590.316,27969.305,5.2,10.0,11.988594,253.71793,13.28,"47.0148862689,9.2490818321"
2020-02-28 23:00:00+00:00,-5.3126664,39790.812,33884.21,0.7,5.0,16.215992,172.52086,12.44,"47.0148862689,9.2490818321"
2020-02-29 23:00:00+00:00,-4.4251676,39992.19,31141.379,3.6,14.0,6.763786,178.90674,13.95,"47.0148862689,9.2490818321"
2020-03-01 23:00:00+00:00,-5.8939166,40194.305,2469.193,7.2,14.0,13.276144,180.51001,6.96,"47.0148862689,9.2490818321"
2020-03-02 23:00:00+00:00,-7.960584,40396.996,31325.33,11.500001,12.0,10.44,316.46872,10.83,"47.0148862689,9.2490818321"
2020-03-03 23:00:00+00:00,-9.468918,40600.13,30103.598,0.8000001,8.0,5.506941,233.8417,14.03,"47.0148862689,9.2490818321"
2020-03-04 23:00:00+00:00,-7.2543335,40803.56,0.0,7.7,17.0,14.264361,170.27502,4.86,"47.0148862689,9.2490818321"
2020-03-05 23:00:00+00:00,-6.9709992,41007.14,17533.992,6.5000005,22.0,7.2359104,268.12653,8.46,"47.0148862689,9.2490818321"
2020-03-06 23:00:00+00:00,-8.314751,41210.734,17526.807,8.100001,18.0,6.4096174,308.99826,8.8,"47.0148862689,9.2490818321"
2020-03-07 23:00:00+00:00,-7.373083,41414.207,35982.133,0.0,0.0,5.04,186.3401,15.03,"47.0148862689,9.2490818321"
